id,name,price,brand
1,Turner,7416,Argentum Bryophyllum
2,Aldus,6996,ck one 3-in-1 face makeup
3,Ellene,3812,Nitrogen
4,Nathaniel,4505,Thiothixene
5,Eleanor,9785,Gentle Laxative
6,Phyllis,6688,DHC Salicylic Acne Wash
7,Weider,2778,Antiseptic Mouth Rinse
8,Nerte,2816,SUPREME SKINPIA 10 SUN BLOCK
9,Marlena,9142,Ativan
10,Beatriz,3762,care one pain relief
11,Clim,7279,Apis Aconitum
12,Xever,8257,Glipizide
13,Hayward,2405,PureLife Topical Anesthetic
14,Rosella,3441,Absorica
15,Alexander,9103,Arneu
16,Gianna,7042,DryMax
17,Neal,3685,ANBESOL REGULAR STRENGTH
18,Elie,6837,medroxyprogesterone acetate
19,Giorgia,2954,Pain Relief PM
20,Goraud,4339,ONDANSETRON HYDROCHLORIDE
21,Sharron,7180,Femara
22,Barbara-anne,5592,Betimol
23,Greta,9192,Han-I-Foam
24,Aida,4296,Geri Mucil
25,Jeffie,8083,HurriCaine
26,Marya,2197,Phisoderm Clear Confidence Daily Gel Face Wash
27,Heall,7806,Uroxatral
28,Kerri,2566,Junior Aspirin Free Rapid Tabs
29,Fair,3806,Advanced Protection
30,Ly,7334,Antibacterial Hand Mistletoe and Mint
31,Bertram,9187,H-Balm Control
32,Fowler,5523,KETOPROFEN
33,Ignatius,4949,Onfi
34,Minetta,6804,Antispetic
35,Jase,2737,Promethazine Hydrochloride
36,Mandy,8637,Sheer Defense Tinted Moisturizer SPF 15 ML 30
37,Nickola,6453,Rapid Comfort Non Aspirin
38,Nikolia,8964,Ropinirole Hydrochloride
39,Farly,9445,Glyburide
40,Tiphani,8498,Mepivacaine
41,Carey,6512,Allerforce
42,Westley,1966,"Acetaminophen, Diphenhydramine Hydrochloride, Phenylephrine Hydrochloride"
43,Bibbye,9890,ProHance
44,Ax,8689,Ropinirole
45,Carola,1692,LBEL RENOVANCE JOUR Daytime Face SPF 15 All Skin Types
46,Crichton,6388,Lisinopril
47,Darrin,5752,Ulta Sparkling Lemon Anti-Bacterial Deep Cleansing
48,Kerk,5186,Childrens Ibuprofen
49,Standford,1474,good neighbor pharmacy migraine relief
50,Odell,8095,Ala Scalp
51,Marsha,9680,Metronidazole
52,Ailey,4150,Gabapentin
53,Rhonda,9060,berkley and jensen acetaminophen
54,Ashby,4440,Actos
55,Birgit,9183,Ban
56,Mart,6452,risperidone
57,Barr,3724,CUCUMBER MELON ANTIBACTERIAL SANITIZER
58,Cathrine,7277,Spironolactone
59,Dacy,9326,Fluphenazine Hydrochloride
60,Hillier,7693,Ferrum sidereum Pancreas 10/4 Special Order
61,Ina,5784,Antibacterial Foaming Hand Cleanser
62,Rubie,7076,Topcare ZZZ Sleep
63,Guenna,9319,Isoniazid
64,Adelina,7935,Amitriptyline Hydrochloride
65,Agretha,2133,Hydrocortisone
66,Myrna,5546,Propranolol
67,Gae,6589,Warfarin Sodium
68,Darby,3938,Hot Flash Rescue
69,Brew,5870,APPLE
70,Mora,4590,HGH
71,Gerek,3659,Omeprazole
72,Beck,3489,Vibativ
73,Hewett,6280,Valsartan and Hydrochlorothiazide
74,Giusto,9080,DEXAMETHASONE
75,Rosette,3103,YSNORE
76,Nathanil,9507,ACETANILIDUM
77,Taylor,5421,Lisinopril
78,Alvina,9911,Foscarnet Sodium
79,Michaeline,7934,Nortriptyline Hydrochloride
80,Robin,3605,Fluticasone
81,Karylin,1801,Aminosyn-PF
82,Berty,6785,Rodan and Fields Redefine AM
83,Traver,5804,Topcare Nite Time
84,Anton,8144,NEXIUM
85,Marie,9156,SINEMET
86,Garnette,8419,Galantamine
